Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Extreme Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Historical Shoreline Change Rate (m/yr),Sediment Budget Balance (m3/m/yr),Vegetation Cover (%),Relative Sea-Level Rise (mm/yr),Coastal Erosion Risk Class
1.74,7.42,0.2,1.1,33.42,0.0165,0.186,3.45,0.0136,0.75,3.55,24.2,1.92,Low Susceptibility
1.49,9.65,3.25,1.0,92.9,0.0333,0.284,8.52,0.0259,0.97,7.75,61.2,NaN,Stable or Accreting
1.5,10.23,NaN,0.87,64.79,0.0232,0.336,4.88,0.017,-1.41,-3.79,NaN,4.92,Moderate Susceptibility
1.64,7.62,0.27,1.44,21.75,0.015,NaN,3.17,0.0139,-2.84,-11.71,0.0,3.55,Moderate Susceptibility
2.83,11.78,0.49,1.78,62.97,0.0417,0.46,6.59,0.0291,-2.8,-9.12,32.3,6.72,High Susceptibility
2.01,9.27,0.22,2.17,30.86,0.0286,0.383,3.16,0.0313,-4.66,-17.9,0.0,8.59,Critical Erosion Hotspot
1.99,8.46,1.13,1.14,44.52,0.0372,0.705,4.01,0.0391,0.42,6.82,NaN,2.77,Stable or Accreting
NaN,7.44,4.8,0.88,103.72,0.015,0.227,8.03,0.0116,2.49,11.92,62.4,2.42,Stable or Accreting
3.03,14.48,3.59,1.57,67.11,0.0292,0.388,7.34,0.0315,-2.94,-14.95,28.4,3.64,Moderate Susceptibility
NaN,8.53,4.88,0.62,98.62,0.0288,0.305,7.15,0.0208,2.99,17.63,39.0,1.32,Stable or Accreting
2.13,11.51,3.01,0.99,64.99,0.0277,0.287,NaN,0.0244,-2.0,-11.4,15.4,2.39,Moderate Susceptibility
2.98,12.08,0.44,1.93,8.0,0.0287,0.278,0.8,0.0334,-2.34,-5.12,0.0,6.68,Critical Erosion Hotspot
NaN,NaN,0.23,2.05,66.33,0.0401,0.589,6.56,0.0333,-2.38,-12.03,29.2,6.84,Moderate Susceptibility
1.3,8.13,0.69,1.48,37.49,0.0193,0.349,2.66,0.0214,1.2,8.72,6.7,5.63,Moderate Susceptibility
1.98,10.1,3.19,1.7,71.53,0.0299,0.431,5.05,0.0331,-1.76,-2.43,24.7,6.66,Moderate Susceptibility
2.85,13.47,1.11,1.75,92.96,0.0562,0.732,7.93,0.0423,2.29,10.95,51.4,4.83,Low Susceptibility
1.92,9.91,0.27,2.08,8.0,0.015,0.207,0.97,0.0222,-3.82,-13.02,0.0,4.8,Critical Erosion Hotspot
1.91,7.23,4.86,0.85,81.68,0.0345,0.235,5.45,0.0199,0.06,3.72,35.5,3.14,Low Susceptibility
1.6,7.97,0.4,2.03,8.0,0.0257,0.245,0.8,0.0194,-1.87,-4.53,0.0,8.32,Critical Erosion Hotspot
1.52,9.52,0.2,1.88,8.0,0.015,0.156,0.8,0.01,-4.11,-14.32,0.0,9.02,Critical Erosion Hotspot
1.94,9.49,3.41,1.31,28.24,0.0401,0.441,3.47,0.0296,NaN,NaN,4.9,3.47,Moderate Susceptibility
3.12,13.34,0.77,1.5,73.9,0.0397,0.528,8.46,0.0281,0.6,3.73,46.3,1.72,Stable or Accreting
1.3,9.5,0.41,1.04,116.74,0.0271,0.501,9.13,0.0323,3.6,22.0,62.7,1.81,Stable or Accreting
NaN,12.59,2.67,1.24,84.51,NaN,0.583,7.72,0.0464,0.15,9.15,39.8,4.98,Low Susceptibility
1.78,10.22,0.35,1.46,88.82,0.0304,0.512,9.47,0.0347,-1.3,3.03,47.7,3.09,Low Susceptibility
2.3,13.35,2.17,0.99,92.69,0.0768,1.118,8.58,0.0564,0.41,9.37,45.4,2.83,Stable or Accreting
NaN,14.05,0.78,1.31,NaN,0.0429,0.575,4.3,0.0223,-1.72,-13.32,16.7,4.25,High Susceptibility
1.1,5.47,1.84,1.19,101.96,0.0275,0.445,7.05,NaN,0.72,7.39,66.7,6.85,Stable or Accreting
2.01,9.63,3.44,2.11,59.99,0.054,0.697,5.39,0.033,-1.69,-6.82,12.2,6.17,High Susceptibility
2.81,10.53,0.2,1.96,17.83,0.0274,0.378,3.05,0.0312,-2.13,-8.68,5.1,5.37,High Susceptibility
2.08,9.55,4.0,0.84,66.33,0.0311,0.354,7.14,NaN,-2.12,-11.67,28.3,2.16,Moderate Susceptibility
2.23,10.65,0.42,0.88,54.88,NaN,0.36,3.97,0.0199,-3.71,-14.15,23.4,6.17,High Susceptibility
3.21,11.44,0.49,2.04,35.46,0.0393,0.48,3.46,0.0278,NaN,-6.34,6.1,4.1,High Susceptibility
2.29,9.22,1.47,1.92,117.89,NaN,0.566,8.95,0.0326,2.21,10.53,59.4,2.95,Stable or Accreting
2.68,11.56,3.99,1.63,66.58,0.0451,0.531,5.61,0.0312,NaN,-0.91,3.4,6.5,Moderate Susceptibility
1.59,9.5,0.84,1.33,64.6,NaN,0.877,6.47,0.0341,0.31,NaN,42.2,6.45,Low Susceptibility
NaN,13.74,1.33,2.05,23.37,0.0426,0.631,3.17,0.0279,0.27,6.03,0.0,2.98,High Susceptibility
2.05,10.5,1.18,1.28,78.92,0.0211,0.203,5.89,0.0195,2.79,10.82,42.4,3.59,Stable or Accreting
0.46,5.89,0.5,NaN,86.98,0.0191,0.198,5.89,0.0123,3.53,NaN,53.5,5.29,Low Susceptibility
NaN,12.23,0.68,1.98,49.68,0.0475,0.756,5.42,0.0438,-3.22,-15.13,3.4,4.86,High Susceptibility
2.48,9.41,4.38,1.32,58.34,NaN,0.529,5.46,0.0332,-2.14,NaN,20.1,5.92,High Susceptibility
2.62,11.8,0.75,2.01,NaN,0.0285,0.477,3.04,0.0251,-2.87,NaN,0.0,4.79,High Susceptibility
0.94,7.89,NaN,1.03,73.4,0.0191,0.193,4.95,0.0129,-0.37,-4.33,25.9,NaN,Low Susceptibility
3.03,10.92,0.85,1.82,19.31,0.0227,NaN,1.24,NaN,-2.65,-12.96,0.0,5.29,Critical Erosion Hotspot
1.22,8.74,0.8,1.02,56.64,0.0281,0.247,5.01,0.0199,1.61,11.73,36.1,2.44,Stable or Accreting
NaN,12.31,0.29,1.58,74.65,0.0422,NaN,NaN,0.0365,-2.58,-12.74,28.8,7.17,Moderate Susceptibility
1.51,8.58,0.42,1.28,80.22,0.038,0.525,6.63,0.0275,-0.56,-2.03,46.2,3.19,Low Susceptibility
1.72,9.39,2.91,1.45,54.93,0.0609,0.933,4.66,0.0387,-0.72,-0.71,24.4,4.17,Moderate Susceptibility
1.57,9.39,4.18,0.61,79.03,0.0229,0.391,6.25,0.0191,3.56,19.42,35.6,2.09,Stable or Accreting
3.22,11.84,5.22,1.65,97.3,0.0468,0.397,9.74,0.0258,0.01,0.53,52.7,NaN,Low Susceptibility
3.02,14.34,0.63,NaN,73.49,0.0514,NaN,7.46,0.0425,-1.92,-4.33,34.2,5.84,Moderate Susceptibility
1.59,10.43,3.12,NaN,47.95,0.032,0.575,3.74,0.0323,-2.75,-12.12,22.9,7.82,High Susceptibility
1.73,9.59,1.0,1.42,76.65,NaN,0.266,4.76,0.0199,0.53,5.56,43.4,5.68,Low Susceptibility
1.43,7.47,1.29,1.23,103.46,NaN,NaN,7.58,0.0231,0.56,4.33,68.8,4.44,Stable or Accreting
2.98,10.12,0.2,1.92,8.0,0.0257,0.311,0.8,0.0202,-3.54,-16.3,0.0,8.34,Critical Erosion Hotspot
NaN,NaN,0.91,1.57,82.63,0.0379,0.467,6.09,0.0257,1.74,10.53,54.2,8.11,Stable or Accreting
NaN,11.53,1.1,1.84,95.66,NaN,0.362,9.89,0.0215,NaN,NaN,54.7,5.11,Stable or Accreting
2.8,12.27,0.28,2.11,28.4,0.0163,NaN,2.47,0.0074,-2.56,-4.48,3.3,6.96,Critical Erosion Hotspot
0.93,7.38,4.89,0.7,27.14,0.0171,0.17,2.47,NaN,-0.71,1.26,15.9,5.54,Moderate Susceptibility
1.84,10.55,0.94,1.12,72.12,0.0565,0.804,6.33,0.0487,2.66,12.8,44.6,4.47,Low Susceptibility
3.07,12.75,0.61,2.12,10.01,0.0485,0.437,NaN,0.0347,-2.78,-8.29,0.0,8.55,Critical Erosion Hotspot
1.66,10.52,4.5,1.35,NaN,0.0301,0.305,5.44,NaN,-0.47,2.39,47.8,3.03,Low Susceptibility
1.71,9.41,0.41,1.58,59.49,NaN,0.45,6.32,0.0254,-1.47,-7.21,35.4,5.37,Moderate Susceptibility
2.11,11.62,2.52,1.16,97.61,0.0337,0.223,7.65,0.0162,0.03,3.1,71.0,2.9,Low Susceptibility
2.42,10.04,NaN,1.76,49.74,0.0319,0.519,4.97,0.0396,0.57,5.88,26.3,1.55,Low Susceptibility
NaN,9.8,4.11,1.05,58.62,0.0274,0.338,4.15,0.0245,-1.55,-1.99,5.9,2.9,Moderate Susceptibility
2.33,11.48,0.8,1.45,33.57,0.0283,0.335,2.66,0.0213,-0.41,1.65,15.4,4.05,Moderate Susceptibility
2.9,12.59,0.21,1.9,8.0,NaN,0.131,0.8,0.0217,-2.84,-7.46,0.0,7.71,Critical Erosion Hotspot
2.09,8.42,4.36,1.36,60.72,0.0269,0.234,3.94,0.0209,NaN,7.16,30.9,5.27,Moderate Susceptibility
2.2,11.78,0.82,1.5,35.02,0.0271,0.549,4.65,0.0315,-1.38,-5.17,20.0,4.38,Moderate Susceptibility
1.64,12.34,3.68,1.78,84.7,0.0394,0.525,9.46,0.0343,-1.46,-7.57,44.8,3.98,Low Susceptibility
0.9,7.6,0.95,1.34,44.32,0.03,0.302,3.22,0.0242,2.3,15.46,19.5,5.59,Low Susceptibility
2.1,9.0,1.16,1.56,71.56,0.0213,NaN,5.75,0.0143,-1.01,0.75,35.0,5.76,Moderate Susceptibility
2.09,10.02,5.36,1.06,47.76,0.015,0.143,2.64,0.005,-3.54,-11.13,2.3,NaN,High Susceptibility
1.86,7.26,NaN,1.57,108.54,NaN,0.694,7.78,0.0309,1.21,10.29,53.6,NaN,Stable or Accreting
1.37,NaN,3.27,NaN,106.24,0.0293,0.177,10.22,0.0203,0.41,-2.83,69.2,4.88,Low Susceptibility
2.26,11.99,4.24,0.93,98.66,NaN,0.695,7.67,0.0292,1.5,6.54,52.6,6.16,Stable or Accreting
1.6,8.21,4.44,1.2,85.75,0.0386,0.561,8.9,0.0314,NaN,-9.97,23.8,5.85,Moderate Susceptibility
1.92,11.85,1.28,1.47,81.23,0.0436,0.545,7.4,0.0347,NaN,-6.46,54.5,4.56,Low Susceptibility
1.77,10.4,3.17,1.21,60.87,0.015,0.315,4.6,NaN,NaN,-12.78,11.8,6.22,High Susceptibility
2.17,10.8,1.9,1.17,121.48,0.0381,0.548,10.04,0.0279,3.3,NaN,NaN,4.28,Stable or Accreting
1.72,10.45,0.3,NaN,78.66,0.0305,0.641,9.74,NaN,-2.06,-11.64,20.6,4.37,Moderate Susceptibility
1.36,8.61,2.66,1.21,78.15,0.0325,0.12,6.0,0.0169,1.47,12.03,NaN,4.34,Stable or Accreting
2.58,9.28,0.35,2.16,8.0,0.0373,NaN,0.9,0.0193,-4.29,-17.05,0.0,5.75,Critical Erosion Hotspot
3.19,13.72,1.63,2.03,30.38,0.0866,1.061,4.77,0.0517,-1.56,-5.39,NaN,2.67,High Susceptibility
2.54,12.89,0.42,2.07,40.96,NaN,NaN,3.22,0.0201,-3.65,-17.72,5.3,NaN,High Susceptibility
3.06,13.13,0.91,1.61,46.6,0.0287,0.301,5.51,0.0203,-2.71,-14.53,NaN,4.59,High Susceptibility
1.33,8.35,NaN,0.72,113.44,0.0376,0.613,9.27,0.027,-1.62,-5.27,64.8,6.0,Low Susceptibility
2.49,8.75,4.42,0.8,49.54,0.0283,NaN,4.05,0.0259,-0.66,NaN,6.6,3.32,Moderate Susceptibility
1.81,NaN,4.7,1.63,NaN,0.0406,0.59,6.76,0.0248,0.71,11.58,61.6,4.81,Low Susceptibility
1.99,10.7,4.56,1.23,38.73,NaN,0.252,4.38,0.0191,-1.76,-7.75,NaN,NaN,Moderate Susceptibility
1.07,8.52,2.99,1.0,43.46,0.0446,0.67,2.53,0.0371,-0.9,NaN,22.9,4.47,Moderate Susceptibility
2.75,11.48,4.68,1.97,23.42,0.0354,0.183,2.86,0.0212,-3.22,-13.17,0.0,NaN,Critical Erosion Hotspot
1.63,11.4,0.66,1.22,36.62,0.0545,0.837,NaN,0.0359,-0.6,-1.89,31.1,1.38,Low Susceptibility
1.23,9.73,0.35,2.12,30.57,0.0265,0.216,3.46,0.0142,-1.22,NaN,16.1,5.57,High Susceptibility
2.34,NaN,NaN,1.88,8.8,0.0255,0.223,1.66,0.0176,-2.49,-7.13,NaN,6.17,Critical Erosion Hotspot
1.54,7.8,1.95,1.61,45.88,0.0307,NaN,3.14,0.0266,-1.06,-9.93,24.9,4.27,Moderate Susceptibility
1.73,10.68,0.97,1.14,101.8,0.0197,0.332,8.87,0.0262,2.02,8.16,73.3,3.15,Stable or Accreting
2.54,13.03,5.07,2.18,67.3,0.0453,0.315,6.83,0.0127,-1.15,-5.07,47.7,7.22,Moderate Susceptibility
1.84,NaN,0.66,1.48,8.0,0.0211,NaN,0.8,0.0182,NaN,-15.96,0.0,8.24,Critical Erosion Hotspot
1.46,9.09,0.2,NaN,8.0,0.0221,0.174,1.03,0.0266,-2.58,-7.68,0.0,6.83,Critical Erosion Hotspot
2.89,10.52,4.28,1.86,32.49,0.0329,NaN,2.92,0.0139,-1.47,1.71,0.0,4.28,High Susceptibility
1.8,13.61,1.59,1.48,73.58,0.0701,NaN,5.4,0.0555,2.29,10.82,45.7,3.87,Low Susceptibility
0.91,8.73,0.5,NaN,81.78,0.0258,0.34,6.04,0.0176,-0.83,-1.88,33.3,6.88,Low Susceptibility
1.55,9.95,2.92,1.08,61.17,0.0207,0.338,4.3,0.0114,-0.65,-3.2,52.3,8.0,Low Susceptibility
2.82,9.98,3.23,1.89,68.26,0.0442,0.76,6.41,0.0347,-1.7,-8.63,28.9,7.66,Moderate Susceptibility
2.79,12.47,4.74,1.34,54.19,0.0553,0.778,6.16,0.0386,-1.89,-8.76,10.1,3.41,Moderate Susceptibility
2.04,10.55,4.58,1.18,51.65,0.0282,NaN,1.9,0.0336,-1.23,-2.45,18.2,4.36,Critical Erosion Hotspot
2.95,12.22,0.92,1.78,61.0,0.0482,0.74,7.33,0.0391,-1.44,-1.86,44.7,4.53,Moderate Susceptibility
1.41,7.81,3.46,1.44,104.36,0.0208,NaN,9.47,0.0055,0.43,3.22,77.0,8.07,Low Susceptibility
2.5,10.79,0.72,1.45,82.94,0.0505,0.477,8.33,0.0418,0.1,0.95,56.9,2.22,Low Susceptibility
2.74,NaN,3.92,1.48,71.02,0.0331,0.412,5.36,0.0315,0.81,9.22,30.5,4.23,Low Susceptibility
1.98,11.53,2.68,1.55,65.92,0.047,0.624,6.43,NaN,-2.83,-11.27,6.8,NaN,Moderate Susceptibility
2.26,8.2,1.82,1.81,86.89,0.0159,0.12,6.51,0.012,1.64,7.68,57.3,3.85,Stable or Accreting
2.84,12.49,0.43,2.14,31.32,0.027,0.313,5.03,0.0235,-1.58,-1.47,13.4,5.95,Moderate Susceptibility
2.41,10.17,0.2,1.8,41.2,0.0315,0.246,4.42,0.0264,-0.21,-5.78,16.0,3.86,Moderate Susceptibility
0.57,NaN,0.85,0.22,110.81,0.0228,0.39,7.72,0.0144,3.51,22.0,56.0,3.97,Stable or Accreting
0.35,5.39,1.16,0.93,137.14,NaN,0.423,10.05,0.023,3.6,16.53,NaN,3.32,Stable or Accreting
3.31,13.4,0.85,1.96,27.25,NaN,NaN,4.0,0.0307,-3.49,-16.88,0.0,1.91,High Susceptibility
3.38,13.82,0.51,1.91,73.47,0.0319,0.27,8.75,0.0285,0.99,NaN,54.7,2.16,Stable or Accreting
2.96,NaN,3.23,1.63,22.02,0.015,0.237,1.31,0.0148,-3.27,-10.94,NaN,5.82,Critical Erosion Hotspot
1.02,9.61,1.55,0.96,100.15,0.0185,0.47,10.69,0.0252,0.77,5.96,66.0,NaN,Stable or Accreting
2.41,10.9,0.85,1.1,101.54,0.0589,0.89,9.29,0.0546,1.86,NaN,53.3,0.93,Stable or Accreting
2.26,8.33,3.49,1.52,55.33,0.0462,0.657,6.2,0.0414,-0.77,-0.68,37.9,7.1,Moderate Susceptibility
1.24,NaN,4.79,0.75,80.18,NaN,0.265,NaN,0.0216,-0.73,-8.61,50.3,4.56,Low Susceptibility
2.77,12.83,0.86,2.05,24.45,0.0464,0.677,3.55,0.0407,-2.5,-10.06,0.0,2.51,High Susceptibility
2.08,11.34,0.84,1.44,83.08,0.0504,NaN,7.87,0.0345,-2.41,-12.97,43.6,4.86,Moderate Susceptibility
1.16,7.61,5.11,1.06,92.5,0.0184,0.33,6.73,0.0246,-0.48,-2.67,47.2,5.87,Low Susceptibility
3.2,11.79,0.57,1.96,20.73,0.0414,0.404,3.81,0.0285,-2.63,-9.47,0.0,2.31,High Susceptibility
3.06,11.32,2.4,NaN,38.43,0.0526,0.588,5.5,0.0352,-1.72,-7.91,16.2,2.74,Moderate Susceptibility
1.37,8.48,0.26,1.66,16.53,0.0232,0.25,0.8,0.0172,-3.39,-14.86,0.0,NaN,Critical Erosion Hotspot
2.6,8.14,0.2,NaN,24.48,0.0247,0.134,1.78,0.0203,-2.4,-4.62,0.0,8.04,High Susceptibility
2.42,12.54,0.44,1.98,19.46,0.0453,0.484,3.29,0.0251,-4.06,-19.23,0.0,5.88,Critical Erosion Hotspot
1.17,7.24,3.48,NaN,50.76,0.0308,0.382,3.31,0.0285,-1.06,-2.72,21.0,7.32,Moderate Susceptibility
NaN,7.4,0.2,NaN,8.0,0.0237,0.195,0.8,0.0247,-4.21,-13.56,0.0,8.54,Critical Erosion Hotspot
2.05,11.02,0.53,1.6,75.9,0.0405,0.641,4.66,0.0232,-0.72,-4.9,47.1,4.54,Low Susceptibility
0.72,5.64,0.2,1.29,110.35,0.0153,0.219,7.42,0.0155,1.64,9.9,60.5,3.72,Stable or Accreting
1.16,7.11,0.51,0.16,99.73,0.0334,0.352,8.33,0.0192,1.83,10.79,82.2,3.2,Stable or Accreting
1.9,8.18,0.29,1.69,28.37,0.0198,NaN,2.7,0.0139,-3.01,-13.8,0.0,7.74,High Susceptibility
2.08,11.75,NaN,1.7,55.8,0.0471,0.768,5.54,0.0391,-0.01,6.42,32.6,NaN,Low Susceptibility
2.42,13.88,0.48,1.8,39.79,0.0382,0.428,3.31,0.0267,0.23,1.04,22.6,4.53,Moderate Susceptibility
1.73,8.07,1.11,0.74,119.4,0.0328,0.544,8.99,0.0305,2.45,15.43,57.0,1.72,Stable or Accreting
2.64,11.18,1.12,1.68,24.92,0.0472,0.642,2.2,0.0355,-2.14,-10.68,0.0,3.17,High Susceptibility
2.24,7.7,0.32,1.82,30.07,0.0214,0.213,2.65,0.0118,-2.68,-5.56,0.7,7.35,High Susceptibility
NaN,11.82,0.81,1.43,53.39,0.0236,0.281,5.25,0.018,0.22,3.44,36.3,2.48,Low Susceptibility
2.01,NaN,1.44,NaN,63.54,0.0382,0.426,7.23,0.0299,-0.84,2.16,NaN,3.64,Low Susceptibility
3.9,13.07,0.56,2.07,NaN,0.0463,0.537,1.67,0.0383,-0.46,1.06,0.0,5.87,Critical Erosion Hotspot
2.09,9.51,3.75,1.43,64.08,0.0451,0.83,5.57,0.0358,-0.47,-7.88,46.5,4.53,Low Susceptibility
1.23,7.42,1.12,1.06,119.39,NaN,0.322,10.33,0.0294,3.31,13.8,NaN,3.11,Stable or Accreting
2.01,8.99,0.52,1.95,8.0,0.0271,0.153,0.8,0.0165,-4.49,-21.33,0.0,8.35,Critical Erosion Hotspot
NaN,5.93,1.95,0.79,51.89,0.0369,NaN,4.23,0.0289,-0.68,-4.52,NaN,4.13,Low Susceptibility
1.7,9.35,0.41,1.52,23.9,0.0253,0.323,0.87,0.0231,-2.36,-8.75,0.0,7.05,Critical Erosion Hotspot
0.8,8.18,3.2,0.21,102.05,0.015,0.287,NaN,0.0206,-0.0,-1.23,61.8,NaN,Low Susceptibility
2.57,NaN,3.2,1.22,NaN,0.0212,0.133,7.78,0.0159,-0.56,-2.84,46.4,2.75,Low Susceptibility
3.29,12.61,1.15,1.99,NaN,0.0397,0.59,7.09,0.0381,NaN,-8.48,0.6,7.48,High Susceptibility
2.09,9.79,1.79,1.44,NaN,0.015,0.157,7.93,0.0191,3.0,16.0,50.6,3.17,Stable or Accreting
1.22,8.78,1.27,NaN,74.37,0.0277,0.281,6.34,0.0062,2.32,11.75,39.0,2.96,Stable or Accreting
2.7,12.48,0.55,2.51,27.8,0.0293,0.16,2.34,0.0184,NaN,-3.49,0.0,8.74,Critical Erosion Hotspot
2.3,10.47,4.11,1.39,64.54,0.0353,0.278,5.5,0.0239,-1.43,-3.63,22.2,5.14,Moderate Susceptibility
2.05,10.03,0.23,2.31,68.39,0.0265,0.12,5.18,0.0192,-3.51,-8.51,19.6,7.94,High Susceptibility
1.29,NaN,1.95,1.27,99.04,0.0215,0.229,8.45,0.0289,1.51,9.46,37.2,5.06,Stable or Accreting
1.49,8.29,0.2,1.81,8.0,NaN,0.566,0.8,0.0278,-4.37,-15.08,NaN,9.24,Critical Erosion Hotspot
1.91,11.08,0.53,1.29,41.25,0.0373,0.644,5.47,0.0328,-2.07,NaN,NaN,5.22,Moderate Susceptibility
NaN,11.04,1.08,NaN,8.0,NaN,1.165,3.03,0.0591,NaN,-2.48,5.1,NaN,Moderate Susceptibility
0.85,8.08,1.23,0.44,NaN,0.0295,0.436,7.62,0.0268,2.1,6.49,69.1,4.47,Stable or Accreting
0.55,4.5,2.04,0.81,97.75,0.0452,0.794,8.35,0.0366,2.29,6.94,43.8,NaN,Stable or Accreting
3.33,12.53,0.42,2.09,17.41,0.0437,0.531,3.34,0.0333,-4.01,-16.5,0.0,2.17,Critical Erosion Hotspot
2.34,10.59,0.46,1.46,36.75,0.0423,0.379,4.37,0.0307,-1.45,-7.8,22.7,3.14,Low Susceptibility
3.01,11.31,NaN,1.78,21.53,0.0285,0.335,3.05,0.0227,-0.13,3.07,21.6,5.65,High Susceptibility
NaN,NaN,NaN,0.9,126.27,0.0231,0.258,10.35,0.0214,1.56,7.02,NaN,NaN,Stable or Accreting
2.48,7.68,0.25,1.98,47.08,0.015,NaN,3.63,0.0178,-3.27,-15.12,0.8,8.49,High Susceptibility
2.13,10.04,1.02,1.79,85.3,0.0261,0.683,NaN,0.0405,1.26,8.43,60.6,6.67,Low Susceptibility
NaN,15.04,0.74,2.02,36.56,0.0433,0.627,NaN,0.0302,-0.76,0.64,15.1,4.89,Moderate Susceptibility
NaN,NaN,0.88,2.41,58.68,0.0313,0.294,6.54,0.0241,-0.78,-3.66,51.1,5.5,Moderate Susceptibility
1.16,8.46,0.89,1.56,76.67,0.0356,0.659,6.43,0.0286,1.57,11.23,41.1,6.69,Low Susceptibility
2.51,12.82,0.26,1.95,11.95,0.0259,0.148,0.9,0.0075,-3.21,-15.42,0.0,6.58,Critical Erosion Hotspot
1.22,8.22,5.31,0.76,115.84,0.0263,0.12,9.22,0.0085,0.16,2.6,69.6,3.95,Stable or Accreting
2.54,10.7,3.45,1.32,21.52,0.0424,0.512,NaN,0.0398,-2.26,-7.19,0.0,3.86,Critical Erosion Hotspot
NaN,11.3,0.51,2.27,15.55,0.048,0.507,2.3,NaN,-2.33,0.73,0.0,6.51,Critical Erosion Hotspot
3.1,12.84,0.73,2.1,NaN,0.0637,0.86,3.37,0.0437,-0.67,2.92,28.9,7.48,High Susceptibility
0.83,8.33,0.58,0.81,NaN,0.0185,0.369,7.04,0.024,2.19,16.5,45.4,3.88,Stable or Accreting
2.72,13.7,0.62,2.07,62.92,0.0353,0.417,6.95,0.0375,-0.91,-5.74,28.0,4.32,Moderate Susceptibility
1.97,11.93,1.22,1.61,52.15,0.0842,1.144,6.91,0.0548,0.43,6.16,29.7,1.82,Low Susceptibility
1.98,9.98,0.2,1.77,8.0,0.0304,0.294,0.8,0.017,-5.55,-22.01,NaN,NaN,Critical Erosion Hotspot
3.44,12.29,0.87,2.41,30.89,0.0316,0.301,3.6,0.0196,NaN,-11.47,NaN,NaN,High Susceptibility
2.43,13.19,0.91,1.42,27.96,0.0575,1.087,5.25,NaN,-1.71,-6.88,1.2,3.83,Moderate Susceptibility
2.22,10.72,2.71,1.1,64.35,0.0267,0.244,4.58,0.0194,0.55,2.9,28.4,2.72,Low Susceptibility
3.49,13.44,0.83,NaN,54.73,0.0311,0.394,4.41,0.0312,-2.13,-0.31,14.9,8.45,High Susceptibility
3.13,12.13,0.97,2.05,53.19,0.0508,0.887,NaN,0.0424,-2.97,-10.93,26.6,6.93,High Susceptibility
1.4,9.39,1.17,1.01,73.59,0.0229,0.244,7.57,0.0223,0.64,7.15,52.7,2.18,Stable or Accreting
2.01,12.46,0.98,1.47,70.49,0.0421,0.771,6.73,0.0364,-2.63,-11.49,25.6,6.22,Moderate Susceptibility
2.29,9.77,0.56,1.79,8.0,0.0222,0.126,0.8,0.0099,-3.73,-17.39,0.0,5.79,Critical Erosion Hotspot
3.23,11.51,4.09,1.98,40.92,0.0345,0.383,4.57,0.027,-3.31,-16.82,1.5,7.88,High Susceptibility
2.91,12.16,3.11,1.69,61.75,0.0325,0.364,6.86,0.0267,-1.9,-4.45,12.6,4.0,Moderate Susceptibility
2.69,12.62,0.23,2.38,8.0,0.0297,0.128,2.06,0.016,-5.14,-21.3,0.0,6.07,Critical Erosion Hotspot
1.2,8.06,1.05,0.81,93.04,0.0155,0.12,NaN,0.0118,3.5,19.45,56.6,2.99,Stable or Accreting
2.29,11.7,NaN,NaN,48.51,0.0191,0.153,4.28,0.0111,NaN,-12.79,5.6,8.26,High Susceptibility
1.41,8.17,2.68,1.3,42.81,0.0322,0.453,1.73,0.0232,0.37,3.51,34.4,5.22,High Susceptibility
NaN,8.79,5.14,1.42,66.89,0.0346,0.206,7.57,0.0243,-4.34,NaN,5.3,5.04,High Susceptibility
1.9,12.28,1.03,1.01,109.95,0.0221,0.224,8.01,NaN,3.6,18.63,67.6,4.0,Stable or Accreting
2.04,9.81,0.2,1.72,39.49,0.0289,0.241,NaN,0.02,-2.7,-12.48,10.5,NaN,High Susceptibility
1.56,NaN,NaN,1.29,93.77,0.0222,0.433,6.26,0.0186,0.93,NaN,NaN,6.82,Low Susceptibility
1.54,9.25,0.41,1.27,72.3,0.039,0.726,7.32,0.0326,-1.26,-6.91,43.5,2.63,Low Susceptibility
3.06,14.23,0.83,2.14,NaN,0.0478,NaN,1.41,0.0337,-1.71,0.31,0.0,5.28,Critical Erosion Hotspot
1.59,7.07,4.55,1.64,70.68,0.0268,0.198,5.35,0.0139,-0.89,-0.25,19.3,NaN,Moderate Susceptibility
2.47,11.4,0.72,2.27,44.93,NaN,0.26,4.59,0.0239,0.21,NaN,22.9,5.26,Moderate Susceptibility
1.15,9.2,5.26,0.91,101.59,0.025,0.192,6.87,0.0169,-0.51,-0.84,53.1,5.82,Low Susceptibility
2.44,10.69,1.22,NaN,44.13,0.0255,0.12,5.22,0.013,0.77,4.0,20.3,3.98,Low Susceptibility
3.54,13.02,0.2,2.13,52.15,0.0359,0.586,5.98,0.0309,0.62,4.25,37.4,1.91,Low Susceptibility
2.25,11.49,0.41,1.52,29.86,0.0241,0.196,1.76,0.0203,1.06,9.54,2.3,5.06,High Susceptibility
1.92,11.18,0.98,1.62,62.3,0.0374,0.718,6.86,0.0362,0.91,0.14,46.4,0.89,Stable or Accreting
1.55,7.83,3.51,1.11,79.74,0.0478,0.767,7.32,0.0387,NaN,5.01,29.4,4.76,Low Susceptibility
NaN,14.22,0.9,1.49,51.63,0.0551,0.703,5.31,0.0321,-1.47,-3.32,13.6,2.62,Moderate Susceptibility
